date,id,r1,r2,r3,r4,r5,r6,b1,summary
2021-05-30,2021059,01,09,11,18,32,33,14,"01,09,11,18,32,33,14"
2021-05-27,2021058,09,11,13,18,19,28,14,"09,11,13,18,19,28,14"
2021-05-25,2021057,05,06,09,17,25,33,16,"05,06,09,17,25,33,16"
2021-05-23,2021056,08,21,22,23,29,32,01,"08,21,22,23,29,32,01"
2021-05-20,2021055,03,11,12,16,22,28,10,"03,11,12,16,22,28,10"
2021-05-18,2021054,07,13,21,22,24,31,02,"07,13,21,22,24,31,02"
2021-05-16,2021053,07,10,14,16,24,33,16,"07,10,14,16,24,33,16"
2021-05-13,2021052,03,04,06,19,21,30,14,"03,04,06,19,21,30,14"
2021-05-11,2021051,08,09,10,19,27,29,15,"08,09,10,19,27,29,15"
2021-05-09,2021050,02,09,10,16,25,28,08,"02,09,10,16,25,28,08"
2021-05-06,2021049,04,11,13,22,25,32,01,"04,11,13,22,25,32,01"
2021-05-04,2021048,04,15,17,22,29,32,03,"04,15,17,22,29,32,03"
2021-05-02,2021047,03,07,13,16,24,29,01,"03,07,13,16,24,29,01"
2021-04-29,2021046,05,09,13,21,28,33,06,"05,09,13,21,28,33,06"
2021-04-27,2021045,01,04,14,15,17,32,02,"01,04,14,15,17,32,02"
2021-04-25,2021044,05,07,14,17,26,28,13,"05,07,14,17,26,28,13"
2021-04-22,2021043,02,03,17,18,23,24,01,"02,03,17,18,23,24,01"
2021-04-20,2021042,05,09,10,22,25,27,08,"05,09,10,22,25,27,08"
2021-04-18,2021041,02,09,18,23,26,32,14,"02,09,18,23,26,32,14"
2021-04-15,2021040,02,06,07,24,28,29,16,"02,06,07,24,28,29,16"
2021-04-13,2021039,02,08,21,24,29,31,13,"02,08,21,24,29,31,13"
2021-04-11,2021038,05,07,09,16,18,27,06,"05,07,09,16,18,27,06"
2021-04-08,2021037,13,17,19,24,26,30,12,"13,17,19,24,26,30,12"
2021-04-06,2021036,01,02,06,11,21,26,11,"01,02,06,11,21,26,11"
2021-04-04,2021035,12,14,18,20,26,28,11,"12,14,18,20,26,28,11"
2021-04-01,2021034,04,10,12,18,23,25,01,"04,10,12,18,23,25,01"
2021-03-30,2021033,02,12,13,14,31,33,06,"02,12,13,14,31,33,06"
2021-03-28,2021032,01,05,08,15,16,30,03,"01,05,08,15,16,30,03"
2021-03-25,2021031,06,11,21,25,28,31,07,"06,11,21,25,28,31,07"
2021-03-23,2021030,08,09,13,27,29,31,05,"08,09,13,27,29,31,05"
2021-03-21,2021029,08,10,15,17,22,30,12,"08,10,15,17,22,30,12"
2021-03-18,2021028,11,16,23,26,27,33,05,"11,16,23,26,27,33,05"
2021-03-16,2021027,05,07,09,16,20,26,08,"05,07,09,16,20,26,08"
2021-03-14,2021026,03,05,13,19,20,25,03,"03,05,13,19,20,25,03"
2021-03-11,2021025,06,08,14,17,18,30,11,"06,08,14,17,18,30,11"
2021-03-09,2021024,01,04,06,10,11,18,02,"01,04,06,10,11,18,02"
2021-03-07,2021023,02,21,22,23,27,28,11,"02,21,22,23,27,28,11"
2021-03-04,2021022,10,15,17,25,31,32,06,"10,15,17,25,31,32,06"
2021-03-02,2021021,04,08,17,24,28,33,13,"04,08,17,24,28,33,13"
2021-02-28,2021020,01,03,06,07,09,11,02,"01,03,06,07,09,11,02"
